"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","gene_biotype","hgnc_symbol","lesional_CPM_support","normal_CPM_support"
"1","ENSG00000029153",2092.95678941787,2.16958475110485,0.0553048092088645,39.2295856751116,0,0,"ENSG00000029153","protein_coding","ARNTL2",95,83
"2","ENSG00000057149",32715.1809192617,6.66689568184666,0.13718102516286,48.5992554285971,0,0,"ENSG00000057149","protein_coding","SERPINB3",95,83
"3","ENSG00000093134",155.294762958117,8.31920877141114,0.191341714270826,43.4782807455988,0,0,"ENSG00000093134","protein_coding","VNN3",93,0
"4","ENSG00000113749",984.727915410035,3.221389133695,0.0854388501457168,37.7040319269382,0,0,"ENSG00000113749","protein_coding","HRH2",95,83
"5","ENSG00000114251",1071.48853785054,2.47957411625094,0.0653347099366362,37.9518653814445,0,0,"ENSG00000114251","protein_coding","WNT5A",95,83
"6","ENSG00000115919",935.866149372575,4.46839586041394,0.081461475346402,54.8528717582489,0,0,"ENSG00000115919","protein_coding","KYNU",95,82
"7","ENSG00000121316",3435.77475785637,2.02751880783945,0.0489637248331992,41.4085900275445,0,0,"ENSG00000121316","protein_coding","PLBD1",95,83
"8","ENSG00000121742",10721.3078206971,2.9941041398155,0.0764962574631467,39.1405310417697,0,0,"ENSG00000121742","protein_coding","GJB6",95,83
"9","ENSG00000134827",2567.58544512065,7.99444662951271,0.198372789306592,40.3001170546482,0,0,"ENSG00000134827","protein_coding","TCN1",94,11
"10","ENSG00000136688",4944.01969743898,5.66627623313443,0.0989751199431671,57.2495010502446,0,0,"ENSG00000136688","protein_coding","IL36G",95,83
"11","ENSG00000140519",7313.9897341329,5.27893545151163,0.135934097888932,38.8345200615147,0,0,"ENSG00000140519","protein_coding","RHCG",95,83
"12","ENSG00000146242",1582.79809284047,1.78975293044138,0.0426734579000745,41.9406586321718,0,0,"ENSG00000146242","protein_coding","TPBG",95,83
"13","ENSG00000153802",984.398284012071,7.70984482648001,0.168208649753276,45.835008115151,0,0,"ENSG00000153802","protein_coding","TMPRSS11D",94,0
"14","ENSG00000159337",7336.31794816738,4.61382744377787,0.0974391091681308,47.35087875051,0,0,"ENSG00000159337","protein_coding","PLA2G4D",95,83
"15","ENSG00000163202",11768.6876437651,5.33202478951192,0.141085207836295,37.7929399636197,0,0,"ENSG00000163202","protein_coding","LCE3D",95,83
"16","ENSG00000163216",29776.2016707531,5.92073143251363,0.124398376602493,47.5949252250531,0,0,"ENSG00000163216","protein_coding","SPRR2D",95,83
"17","ENSG00000163221",625.529497492893,8.2425756142097,0.193329235291648,42.6349155200211,0,0,"ENSG00000163221","protein_coding","S100A12",94,1
"18","ENSG00000163874",4206.87778337539,3.80423292212153,0.0960830669145769,39.5931670822259,0,0,"ENSG00000163874","protein_coding","ZC3H12A",95,83
"19","ENSG00000164687",12467.3427313377,3.61798629556421,0.0807271520336554,44.8174648110448,0,0,"ENSG00000164687","protein_coding","FABP5",95,83
"20","ENSG00000165474",42771.1137160191,4.383109217944,0.0844563118338768,51.897947267286,0,0,"ENSG00000165474","protein_coding","GJB2",95,83
"21","ENSG00000167759",3000.91567962633,4.02915136211759,0.103311902424063,38.9998757895211,0,0,"ENSG00000167759","protein_coding","KLK13",95,83
"22","ENSG00000173083",1414.77358704276,2.8788618399542,0.0642149890734605,44.8316176875908,0,0,"ENSG00000173083","protein_coding","HPSE",95,83
"23","ENSG00000174808",395.403041470752,-4.37821936760791,0.11505086704648,-38.0546403517249,0,0,"ENSG00000174808","protein_coding","BTC",36,83
"24","ENSG00000176749",331.067898999014,2.30909824013117,0.0544759816329238,42.3874553686906,0,0,"ENSG00000176749","protein_coding","CDK5R1",95,83
"25","ENSG00000176797",962.704243520283,5.97082849203168,0.149116348192054,40.0414076955638,0,0,"ENSG00000176797","protein_coding","DEFB103A",94,19
"26","ENSG00000184060",1220.61137154612,2.04489666296854,0.0521547750709752,39.2082347241595,0,0,"ENSG00000184060","protein_coding","ADAP2",95,83
"27","ENSG00000184731",1082.24632065831,2.09478037707415,0.0536138013803234,39.0716629513786,0,0,"ENSG00000184731","protein_coding","FAM110C",95,83
"28","ENSG00000188373",2560.1226706139,5.49057566932461,0.121497680759966,45.1907858239033,0,0,"ENSG00000188373","protein_coding","C10orf99",94,70
"29","ENSG00000196805",22064.2336992632,6.28834673708568,0.128982549426753,48.7534690935591,0,0,"ENSG00000196805","protein_coding","SPRR2B",95,83
"30","ENSG00000198074",2824.1849040906,6.22706244506303,0.114015093745631,54.6161235367282,0,0,"ENSG00000198074","protein_coding","AKR1B10",95,64
"31","ENSG00000203785",54655.7718509311,3.99265649845827,0.101469185087056,39.3484632308099,0,0,"ENSG00000203785","protein_coding","SPRR2E",95,83
"32","ENSG00000205420",308542.243723099,4.49068757031115,0.11670327661004,38.4795328867812,0,0,"ENSG00000205420","protein_coding","KRT6A",95,83
"33","ENSG00000206072",13137.017407012,6.54205599142044,0.135168009631924,48.3994401429386,0,0,"ENSG00000206072","protein_coding","SERPINB11",95,82
"34","ENSG00000206073",37860.9361612679,9.1550964326489,0.219315995361891,41.7438610327632,0,0,"ENSG00000206073","protein_coding","SERPINB4",95,40
"35","ENSG00000213201",240.179782271005,3.70217351526634,0.0880990436008564,42.022857047569,0,0,"ENSG00000213201","processed_pseudogene","FABP5P10",94,24
"36","ENSG00000227471",288.822988819625,5.15197305930877,0.107908710843632,47.743810662092,0,0,"ENSG00000227471","protein_coding","AKR1B15",94,1
"37","ENSG00000229035",645.401123559536,7.5055798813975,0.177893809869866,42.191349361105,0,0,"ENSG00000229035","unprocessed_pseudogene","SPRR2C",93,2
"38","ENSG00000234964",14498.8344250363,3.59034405714639,0.0707148997719553,50.7721013354286,0,0,"ENSG00000234964","processed_pseudogene","FABP5P7",95,83
"39","ENSG00000236044",2719.27272513181,3.56529730869298,0.0776776743996744,45.8986103310519,0,0,"ENSG00000236044","processed_pseudogene","FABP5P2",95,83
"40","ENSG00000236972",5909.36653658683,3.61949011717027,0.0759860701173778,47.6336006267878,0,0,"ENSG00000236972","processed_pseudogene","FABP5P1",95,83
"41","ENSG00000240122",723.468652018401,3.6871527482924,0.0906378237213346,40.680067072534,0,0,"ENSG00000240122","processed_pseudogene","FABP5P11",95,82
"42","ENSG00000241794",43579.2624254459,7.25021905828442,0.132011941875073,54.9209333284829,0,0,"ENSG00000241794","protein_coding","SPRR2A",95,83
"43","ENSG00000244094",10953.9673226664,8.13067993807786,0.192204669735361,42.3021977003611,0,0,"ENSG00000244094","protein_coding","SPRR2F",95,42
"44","ENSG00000268104",3594.19577084182,4.44532497123414,0.116644901268205,38.1098952710576,0,0,"ENSG00000268104","protein_coding","SLC6A14",95,83
"45","ENSG00000197641",3797.45784333553,3.05105609327466,0.0813711912042633,37.4955318721549,1.08920188519039e-307,4.42603237168697e-305,"ENSG00000197641","protein_coding","SERPINB13",95,83
"46","ENSG00000136694",551.879242543754,11.1775712984053,0.298346926912128,37.4650123401386,3.42170410928582e-307,1.36020176831305e-304,"ENSG00000136694","protein_coding","IL36A",93,0
"47","ENSG00000272666",121.101910362125,4.36235580877211,0.116502700796946,37.4442461756772,7.45199173112284e-307,2.89930044245345e-304,"ENSG00000272666","lncRNA","KLHDC7B-DT",94,1
"48","ENSG00000172350",211.016296267827,4.66970300634591,0.124781921017192,37.4229132576228,1.65703989603733e-306,6.31263157061222e-304,"ENSG00000172350","protein_coding","ABCG4",94,5
"49","ENSG00000188089",7490.01495026157,2.42944084588592,0.0654804623495775,37.1017668280346,2.63104477958885e-301,9.81862955909424e-299,"ENSG00000188089","protein_coding","PLA2G4E",95,83
"50","ENSG00000085831",1136.40156987114,2.57069475580899,0.0693417458353409,37.0728300079633,7.70098781358684e-301,2.81640526318498e-298,"ENSG00000085831","protein_coding","TTC39A",95,83
"51","ENSG00000181333",5418.92495925882,6.29311947711835,0.171106952424974,36.7788648440672,4.02001365781016e-296,1.44137195581797e-293,"ENSG00000181333","protein_coding","HEPHL1",95,63
"52","ENSG00000149573",3770.90895562957,2.44161502639362,0.0664876737777926,36.7228222565539,3.15767266176403e-295,1.11040773640417e-292,"ENSG00000149573","protein_coding","MPZL2",95,83
"53","ENSG00000183760",3100.61534996332,3.79618954347706,0.103878757010551,36.544425951222,2.18637668120064e-292,7.54341207404433e-290,"ENSG00000183760","protein_coding","ACP7",95,83
"54","ENSG00000050730",213.207358788259,7.15324863937669,0.19710332146403,36.291872639407,2.1735330173014e-288,7.36022680636544e-286,"ENSG00000050730","protein_coding","TNIP3",91,0
"55","ENSG00000182481",2009.23806032883,1.82810211445918,0.0506945835686566,36.0610934298996,9.24190849078986e-285,3.07268252113788e-282,"ENSG00000182481","protein_coding","KPNA2",95,83
"56","ENSG00000100433",105.774160425172,3.78474492017138,0.104964440886855,36.0574008511235,1.05592501561465e-284,3.44797229205884e-282,"ENSG00000100433","protein_coding","KCNK10",94,1
"57","ENSG00000119125",908.955177772618,5.91072752849595,0.164559707968476,35.9184371524786,1.57478189466923e-282,5.05201082910905e-280,"ENSG00000119125","protein_coding","GDA",94,17
"58","ENSG00000260673",93.523936015589,5.27793913954041,0.147183988033996,35.8594654896925,1.30944509297174e-281,4.12836430518641e-279,"ENSG00000260673","lncRNA","",92,0
"59","ENSG00000180871",538.581002244722,2.6863960617447,0.0751280852484891,35.7575472988475,5.05005093904302e-280,1.56517341476849e-277,"ENSG00000180871","protein_coding","CXCR2",95,83
"60","ENSG00000062096",664.529552060103,3.63708731775498,0.102432195408033,35.507267058632,3.79679900213037e-276,1.1571377758826e-273,"ENSG00000062096","protein_coding","ARSF",95,82
"61","ENSG00000189182",8889.96677472715,-3.19357234930535,0.0899748079770783,-35.4940724087895,6.06751017732493e-276,1.81886050987809e-273,"ENSG00000189182","protein_coding","KRT77",95,83
"62","ENSG00000171848",1057.07494676595,2.75633684666562,0.0776910237071607,35.478189308652,1.06656146634653e-275,3.14566822155044e-273,"ENSG00000171848","protein_coding","RRM2",95,83
"63","ENSG00000185966",4453.54676738281,5.33502211666085,0.150694393910344,35.4029236139661,1.53946237625685e-274,4.46835063686233e-272,"ENSG00000185966","protein_coding","LCE3E",95,81
"64","ENSG00000196743",16644.2305811595,1.92736226492528,0.054449450223124,35.39727686923,1.88040623771922e-274,5.3726731973334e-272,"ENSG00000196743","protein_coding","GM2A",95,83
"65","ENSG00000177243",883.810638841305,5.69531056182511,0.161054807280072,35.3625617142931,6.42815053666154e-274,1.80838708789835e-271,"ENSG00000177243","protein_coding","DEFB103B",94,21
"66","ENSG00000159516",37052.9789348347,4.75221700172955,0.134414968899928,35.3548197840048,8.45408697900092e-274,2.34229446209107e-271,"ENSG00000159516","protein_coding","SPRR2G",95,83
"67","ENSG00000153292",84.8614184018716,6.25582440320789,0.17793316159286,35.1582827349644,8.6857071600408e-271,2.37054986758964e-268,"ENSG00000153292","protein_coding","ADGRF1",86,0
"68","ENSG00000134070",373.28129377775,2.04507553471051,0.0583075327602436,35.0739507898527,1.68256043825634e-269,4.52460296675815e-267,"ENSG00000134070","protein_coding","IRAK2",95,83
"69","ENSG00000136695",8223.74281230251,2.9849872203672,0.085438168491299,34.937397103394,2.01213210264916e-267,5.33244168536848e-265,"ENSG00000136695","protein_coding","IL36RN",95,83
"70","ENSG00000105173",252.156845118972,2.53120964891125,0.072483514993936,34.921176892746,3.54741409823959e-267,9.26685917148703e-265,"ENSG00000105173","protein_coding","CCNE1",95,80
"71","ENSG00000172382",1227.01687660049,4.182560471354,0.1200198239105,34.8489135800846,4.42208291636844e-266,1.13890434096779e-263,"ENSG00000172382","protein_coding","PRSS27",95,81
"72","ENSG00000167207",1130.68388170771,1.90792039919539,0.0548526542646846,34.7826449744611,4.45095716642202e-265,1.13041948257213e-262,"ENSG00000167207","protein_coding","NOD2",95,83
"73","ENSG00000139514",7408.23142453416,1.61467405160266,0.0469142795485764,34.4175391189964,1.37828437658664e-259,3.45250796031003e-257,"ENSG00000139514","protein_coding","SLC7A1",95,83
"74","ENSG00000065675",190.724434360707,2.89105803808732,0.0843065483803747,34.2922120953574,1.02521823565406e-257,2.53339738610408e-255,"ENSG00000065675","protein_coding","PRKCQ",95,52
"75","ENSG00000169299",2606.81884269942,1.63449222659465,0.0476843955331285,34.2772978103306,1.71030614272431e-257,4.16995441678089e-255,"ENSG00000169299","protein_coding","PGM2",95,83
"76","ENSG00000233461",1414.8234973266,2.76754658978847,0.0809019999294826,34.2086300981531,1.79943943019877e-256,4.32954597639667e-254,"ENSG00000233461","lncRNA","",95,83
"77","ENSG00000273272",75.9052249687228,4.32688122151048,0.126531984581304,34.1959484459853,2.77759897680622e-256,6.596256479205e-254,"ENSG00000273272","lncRNA","",93,1
"78","ENSG00000120217",278.961113316364,3.40170840819065,0.099766931014652,34.0965525710224,8.29708416188555e-255,1.94513437159281e-252,"ENSG00000120217","protein_coding","CD274",95,57
"79","ENSG00000134057",794.8582684708,2.19798966633624,0.064598723820592,34.025280010804,9.42171068377559e-254,2.18082786789266e-251,"ENSG00000134057","protein_coding","CCNB1",95,83
"80","ENSG00000272398",9864.17531390126,2.722993879959,0.0803218012517836,33.9010559713828,6.42720464167866e-252,1.4690983009717e-249,"ENSG00000272398","protein_coding","CD24",95,83
"81","ENSG00000134757",12984.7112816097,2.19165014697623,0.0646594298065035,33.8952903472061,7.81584923554986e-252,1.76445208791685e-249,"ENSG00000134757","protein_coding","DSG3",95,83
"82","ENSG00000073067",125.836687417083,-4.82594086443024,0.14329114100451,-33.679268868955,1.16296616888668e-248,2.59341455661729e-246,"ENSG00000073067","protein_coding","CYP2W1",3,83
"83","ENSG00000135114",950.665941684454,4.56635040328589,0.136453427792619,33.4645342162148,1.58194342467973e-245,3.48523101972212e-243,"ENSG00000135114","protein_coding","OASL",95,73
"84","ENSG00000280693",522.701506280462,2.30637824542276,0.0693970469148072,33.2345301127022,3.41546117455492e-242,7.43513369498943e-240,"ENSG00000280693","lncRNA","SH3PXD2A-AS1",95,83
"85","ENSG00000259630",161.271757218136,3.66294427258643,0.110755900729186,33.0722268382146,7.45534256431296e-240,1.60386346036502e-237,"ENSG00000259630","transcribed_processed_pseudogene","FABP5P9",95,7
"86","ENSG00000204610",64.7316137841316,4.46014747183312,0.135023847779708,33.0322942589362,2.7938310300565e-239,5.94046444367594e-237,"ENSG00000204610","protein_coding","TRIM15",93,0
"87","ENSG00000170465",85779.2277941006,4.16785760378443,0.12671691687657,32.8910906808456,2.94712034556557e-237,6.19437271712783e-235,"ENSG00000170465","protein_coding","KRT6C",95,83
"88","ENSG00000025708",6381.51891026746,3.48434551734652,0.106624248335047,32.6787346382748,3.13181542277646e-234,6.507770093283e-232,"ENSG00000025708","protein_coding","TYMP",95,83
"89","ENSG00000172243",661.041888716267,2.36063038075955,0.0728533725534257,32.4024859525675,2.53209428470956e-230,5.2024579876628e-228,"ENSG00000172243","protein_coding","CLEC7A",95,83
"90","ENSG00000119686",650.465780537822,1.66125430232249,0.0513656122629735,32.3417599661318,1.81151417775797e-229,3.68059425049802e-227,"ENSG00000119686","protein_coding","FLVCR2",95,83
"91","ENSG00000171124",382.691429123888,3.03243216094157,0.0938771281456311,32.3021402639988,6.52716397288615e-229,1.31160132316699e-226,"ENSG00000171124","protein_coding","FUT3",95,72
"92","ENSG00000174502",1059.44743443401,3.10631743466798,0.0963418866882269,32.2426469051864,4.46031991141571e-228,8.8653706413204e-226,"ENSG00000174502","protein_coding","SLC26A9",95,83
"93","ENSG00000172602",209.0960712298,4.44343636092772,0.138280207243036,32.1335674101075,1.49854567725533e-226,2.94649529616032e-224,"ENSG00000172602","protein_coding","RND1",93,1
"94","ENSG00000165949",12174.3051913568,3.78702447249761,0.117934667765863,32.1112065200033,3.07552318060478e-226,5.98287413622756e-224,"ENSG00000165949","protein_coding","IFI27",95,83
"95","ENSG00000151715",2297.89991991252,2.07714511120565,0.0647543322514237,32.0773149685284,9.13627978446469e-226,1.75858960146023e-223,"ENSG00000151715","protein_coding","TMEM45B",95,83
"96","ENSG00000100170",3359.76169907456,2.06423489361881,0.0643894369151461,32.0585952062154,1.66621619468326e-225,3.17379472249772e-223,"ENSG00000100170","protein_coding","SLC5A1",95,83
"97","ENSG00000185275",304.769819281856,2.71372663937548,0.0848600840527513,31.9788351575113,2.14742769129685e-224,4.04823327454167e-222,"ENSG00000185275","processed_pseudogene","CD24P4",94,78
"98","ENSG00000183696",924.271304996872,3.12918808266577,0.0983944586488264,31.8024828393432,5.98114042812824e-222,1.11603197825258e-219,"ENSG00000183696","protein_coding","UPP1",95,83
"99","ENSG00000181938",406.06149641383,1.45500305585986,0.0457550435009288,31.7998398543829,6.50612599694158e-222,1.2017274745462e-219,"ENSG00000181938","protein_coding","GINS3",95,83
"100","ENSG00000102886",1040.59868336386,2.49428092848345,0.0785040088200472,31.7726567849679,1.54505636908003e-221,2.82529007649973e-219,"ENSG00000102886","protein_coding","GDPD3",95,83
"101","ENSG00000135373",6249.69570109976,2.13583589017941,0.0673251492796999,31.7241909305861,7.20877062940313e-221,1.30514435375511e-218,"ENSG00000135373","protein_coding","EHF",95,83
"102","ENSG00000164236",1223.12838939588,-2.70707425419528,0.0859148188336238,-31.5088164177777,6.57800021022711e-218,1.17926776317856e-215,"ENSG00000164236","protein_coding","ANKRD33B",95,83
"103","ENSG00000143556",93926.5237058863,7.06603910411927,0.224937138992322,31.4133945855889,1.32798643634794e-216,2.35762718204451e-214,"ENSG00000143556","protein_coding","S100A7",95,83
"104","ENSG00000253161",125.255893293541,2.96401049295156,0.0943668137323923,31.4094582164973,1.50295905639919e-216,2.64260666397266e-214,"ENSG00000253161","lncRNA","LINC01605",94,13
"105","ENSG00000134755",9291.74890271333,2.87119533274205,0.0914896977931266,31.3827174206466,3.48281978402615e-216,6.06541357816212e-214,"ENSG00000134755","protein_coding","DSC2",95,83
"106","ENSG00000255128",151.326059881043,8.35817130295488,0.266610376016662,31.3497600049615,9.80253494469755e-216,1.69102975470509e-213,"ENSG00000255128","processed_pseudogene","HSPD1P3",81,0
"107","ENSG00000184182",1411.98278343576,1.27544851115967,0.0408581534873576,31.2164990900609,6.36325778525533e-214,1.08746291459046e-211,"ENSG00000184182","protein_coding","UBE2F",95,83
"108","ENSG00000106302",150.932002056925,3.39338565769292,0.108824987012907,31.182045142725,1.86637029071321e-213,3.16004140147979e-211,"ENSG00000106302","protein_coding","HYAL4",93,15
"109","ENSG00000064886",2613.26007179065,4.10711955861654,0.131876317395026,31.1437234504659,6.16838583323258e-213,1.03481746189441e-210,"ENSG00000064886","protein_coding","CHI3L2",95,83
"110","ENSG00000230113",133.516528630191,1.8853130184863,0.0605850100862755,31.1184732956475,1.35489854195626e-212,2.25233406711019e-210,"ENSG00000230113","lncRNA","",94,74
"111","ENSG00000257700",382.759322297289,-3.09009758311512,0.0994242913299978,-31.0799055419849,4.5014071737116e-212,7.4155614034676e-210,"ENSG00000257700","lncRNA","",82,83
"112","ENSG00000113648",6948.36854033783,0.802003162845958,0.0258175436680034,31.0642706044847,7.32067366088562e-212,1.19523070145495e-209,"ENSG00000113648","protein_coding","MACROH2A1",95,83
"113","ENSG00000183908",170.386217840866,3.68010682930696,0.118620910349266,31.0240986894411,2.55107021067489e-211,4.12821857277885e-209,"ENSG00000183908","protein_coding","LRRC55",95,13
"114","ENSG00000258908",410.659146303693,2.17413189429821,0.0702475093191791,30.9495940193374,2.57279292293392e-210,4.1268501218219e-208,"ENSG00000258908","lncRNA","",95,83
